산업별,식료품 제조업,음료 제조업,담배 제조업,섬유제품 제조업,"가죽, 가방 및 신발제조",목재 및 나무제품,"펄프, 종이 및 종이제품","코크스, 연탄 및 석유정제",화학물질 및 화학제품,고무 및 플라스틱제품,비금속 광물제품,1차 금속 제조업,금속가공제품 제조업,"전자부품, 컴퓨터, 영상음향 및 통신장비","의료,정밀, 광학기기 및 시계",전기장비 제조업,기타 기계 및 장비 제조업,자동차 및 트레일러 제조업,기타 운송장비 제조업,가구제조업,기타 제품 제조업
2018-01-01,103.1,101.9,110.1,99.9,88.2,103.3,95.2,105.9,106.9,99,103.5,100,95.6,107.2,116.7,102.8,100.5,106.8,77.4,94.6,101.1
2018-02-01,103.2,102.7,111,98.4,88.7,103.2,95.1,105.9,107.1,98.1,103.7,100.1,94.8,107.2,116.3,103.4,101,106.6,76.7,93.5,101.7
2018-03-01,103.2,102.1,111,97.8,87.3,102,96.8,105.9,107.1,98.3,100.5,100.4,95.2,107.9,116.2,103.3,100.4,104.3,76.7,94.3,102.7
2018-04-01,103.3,100.7,111,97.8,87.9,100.9,96.1,105.9,107.2,98,100.5,100.2,94.7,109.3,115.8,103.4,101.3,103.7,74.4,94.6,104.3
2018-05-01,103.5,101.2,111,97.1,87.9,101.4,95.9,105.9,107.4,98.1,100.7,100.2,94.4,109.9,116.3,103.1,101.7,103.9,72.6,94.6,104.3
2018-06-01,103.3,102.6,111,96.5,85.6,101.6,96.8,105.9,107.4,98.1,100.3,99.9,94.1,112.5,116.5,104.3,101.7,103.7,71.8,94.6,105
2018-07-01,102.5,103.6,111,97,85.3,99.5,96.5,105.8,107.5,97.2,100.2,99.9,94.4,115.7,115.7,102.8,101.5,103.6,71.2,94.8,103.2
2018-08-01,102.7,102.7,111,95.7,85.4,99,96.8,105.8,107.8,98,100.4,99.8,93.7,115.6,116.3,104.5,101.6,103.8,70.8,95.6,102.5
2018-09-01,103.2,102.3,117.2,95.7,85.4,100,97.8,107,107.9,97.9,100.3,99.8,94.1,117.7,116.1,104.7,101.1,103.8,70,95.8,103.5
2018-10-01,103.4,101.8,117.2,94.2,85.3,99,97,107.1,107.8,98,100,99.8,94.2,117.9,117.7,104.4,101.6,104.3,70.4,96.3,104
2018-11-01,104.6,102,117.2,93.7,82.8,100,97.9,107.1,108,97.9,99.5,99.7,94.5,118.2,117,104.7,102.4,104.1,69.8,97.1,101.1
2018-12-01,104.5,101.9,117.2,93.3,78.2,99.9,97.5,107.1,107.9,98.3,99.2,99.7,91.2,118.2,118.2,104.6,102.9,103.8,69.9,97.3,103.5
2019-01-01,105.7,100.5,118.3,94.8,72.6,99.4,97.1,107,107.8,99,99.3,99.9,91.6,117.9,118.1,103.9,99.4,101.4,67.2,96.2,101.7
2019-02-01,105.6,100,118.3,93.6,69.4,99,96.6,106.8,107.8,97.4,99.7,99.9,90.5,117.7,117.4,103.3,100.1,101.5,64.6,94.7,101.3
2019-03-01,105.9,99.9,118.3,93.5,68.7,98.6,95.9,106.8,107.8,97.3,100,99.9,91.8,117.7,117.2,103.7,100.5,101.9,64,94.7,99.8
2019-04-01,105.4,101.4,118.3,92.7,69.4,98.4,95.9,106.8,107.9,96.3,100.1,99.9,91.8,117.2,116.4,103.5,99.5,98.5,64.3,94.7,102.2
2019-05-01,106.1,101.7,118.3,92.7,68.7,99.1,95.8,106.8,107.7,96.2,99.9,99.9,91.7,117,115.9,103.5,99.9,98.3,65,104.8,102.4
2019-06-01,106.3,100.6,118.3,92.5,68.5,97.4,96.1,106.9,108,95.9,100,99.8,91.7,117.4,115.6,103.5,99.9,98.3,65.2,104.1,102.4
2019-07-01,106.3,100.7,122,92.6,68.6,96.6,98.4,106.9,108,96.1,99.8,99.8,92,118.4,115.9,103.2,99.8,98.7,64.8,104,102.4
2019-08-01,106.9,100.7,122,92.5,66.8,97.4,99.7,106.9,108,95.9,99.6,99.7,91.8,118.1,115.4,103.3,99.8,98.6,62,104.3,102.4
2019-09-01,106.7,101.1,122,92.4,67.1,97.1,99.2,106.9,108.1,95.6,99.8,99.8,91.5,119.2,115.1,103.8,100,98.5,62.2,103.8,102.1
2019-10-01,106.6,100.9,122,92.4,67.2,97.7,98.4,106.9,108.4,95.9,99.7,99.7,91.5,122.1,115,103.9,99.9,98.5,61.9,104,102
2019-11-01,105.9,101,122,92.5,67.1,97.4,98.9,106.9,108.4,95.3,100,99.6,91.3,129.4,115.3,103.9,100.5,98.5,61.6,105.7,102.1
2019-12-01,105.6,101.1,122,92.4,61.9,96.6,98.9,106.9,108.5,95.5,99.7,99.5,90.5,129.4,115.6,103.7,101.1,98.3,61.3,104.2,102.8
2020-01-01,105.5,100.2,119.9,93.2,62.1,96.6,97.7,106.9,108.3,95,99.6,99.5,89.6,128.8,114.3,104.2,100.3,97.9,59.4,103.1,104.4
2020-02-01,106.1,100.2,119.9,93.6,62,94.5,98.1,106.9,108.3,95,100.4,99.5,89.6,128.5,115.9,103.4,100.8,96.7,59.3,104.5,104.5
2020-03-01,107,100.5,119.9,93.5,62.3,94,98.1,106.9,106.6,95.1,100.5,99.4,89.9,129.8,115.4,103.8,100.5,97.2,60,105.1,105.4
2020-04-01,106.5,100.7,119.9,94.2,62.8,94.5,97.4,106.9,106.8,94.2,100.5,99.4,88.7,129.8,115.6,103.9,100.8,97.2,59.4,104.5,105.5
2020-05-01,106.3,100.9,119.9,94.3,62.2,94.1,97.3,106.9,106.7,94,100.7,99.1,88.4,129.7,115.8,103.5,100.5,97.1,59,104.5,105.3
2020-06-01,106.3,100.7,119.9,94.4,62.8,94.2,97.9,106.9,106.7,94,100.4,99.1,88.6,130.6,115.9,103.2,101.2,97,56,104.7,105.9
2020-07-01,106.3,100.6,119.9,94.3,62.2,94.6,98.5,106.9,106.6,94,100.6,98.9,88.7,130.6,115.8,102.5,101.5,97.2,55.8,103.6,105.9
